Annual_Los,Longitude,Latitude,LnArea,Area,LnPerimeter,Perimeter,ShaIndex,Roundness,AreaRatio,Elevation,Lithology,Landform,SoilType,ClimateType,GlaCovered,Continent,Basin,Endorheic,Slope,Curvature,TWI,EleDiff,Permeability,Porosity,Sand,Silt,Clay,LnCatArea,CatArea,LnRecharge,Recharge,CatSlope,R-factor,K-factor,SoilErosion,Temp,Pre,Eva,Wind,Aridity,NDVI,Bare,Cropland,Grass,Tree,Lmp,NTL,Pop,RivOrder,RivSlope,RivRunoff,RivSediment,Flood
0.035549236,-100.629335,30.564251,-4.103062453,0.016522,-0.536088732,0.585032,1.28394,0.606611,35.409518,656,6,5,51,9,0,5,75,0,3.144131,-0.033796,101.292453,14,-1052,0,139,410,451,0.933469135,2.543317,5.03653888,153.9363,1.944767,1353.394737,0.031183,0.611097,18.756484,1.801081,-8.31622,2.395683,2614.627907,0.252,0,0,0.84,0,0,10.326683,22.009541,1,0.009822,0.026316,0,0
0.142662,112.280409,27.617206,1.294880033,3.650558,4.423839706,83.415964,12.315856,0.006593,22.850194,63,3,7,99,9,0,1,43,0,10.385262,0.050267,79,111,-1472.788168,17.194842,259.733656,445.914044,294.263923,7.370460464,1588.365,6.075580486,435.102,5.915983,4521.895614,0.032468,5.478096,17.325295,5.598163,-5.341959,0.781915,11721.95338,0.445479,0,0.819883807,0.134791667,0.080099306,0,1.737846,508.118634,6,0.027392,2.281774,2766.91528,28
0.174125,21.961009,41.350495,2.123981616,8.364375,3.955529349,52.223331,5.093812,0.03854,6.243543,255,8,1,7,9,0,2,21,0,14.875709,0.110869,109.431472,134,-1180,6,347.489837,433.878049,218.703252,8.511220993,4970.228,6.387239356,594.2139,13.834679,491.986496,0.028584,2.221263,9.940333,2.203741,-5.955946,0.20636,5040.161166,0.396037,0.002617095,0.463645323,0.1153698,0.173015503,0,3.155316,47.515014,3,0.018791,0.546801,0,33
0.109091,115.536285,28.52087,0.154551171,1.167134,3.049409761,21.102885,5.510315,0.032934,18.080937,44,9,9,1,9,0,1,43,0,5.064124,0.039826,110.013333,35,-1410,1,277.925926,472.828704,249.384259,1.529766586,4.617099,1.375215466,3.955929,1.114379,5275.470213,0.028493,0.996759,18.097384,5.488123,-5.976241,1.130347,11792.32843,0.394,0,0.887712418,0.028181818,0,0.134247,2.201676,318.828451,1,0.002551,0.550464,0,0
0.748275862,20.011916,-33.667492,-1.345601655,0.260383,1.466534049,4.334187,2.396052,0.174184,16.645422,455,3,1,44,6,0,3,12,0,14.193765,0.102749,96.821826,126,-1520,19,712.333333,129.375,157.645833,4.691603813,109.0279,6.037205066,418.7211,16.269259,525.087976,0.014508,0.082027,14.435526,1.257818,-6.16681,0.174919,1873.539566,0.227419,0.002909091,0.000578247,0.6503125,0.038882187,0,0.00352,7.744327,1,0.021028,0.090618,0,0
0.496486,78.821046,11.779334,0.565379148,1.760115,2.067232944,7.902925,1.680399,0.35414,4.490005,181,9,7,44,4,0,1,45,0,5.30747,0.067305,111,63,-1410,1,364.867925,326.811321,308.320755,5.709442095,301.7027,5.144063015,171.4108,13.21626,5165.766888,0.02195,10.325617,25.503091,3.263572,-9.898852,0.323867,5196.551209,0.519869,0,0.255297002,0.129952153,0.134371448,0,1.474018,309.090851,1,0.002662,0.615148,0,32
0.191167,117.728978,40.234246,0.842937367,2.323181,3.149549412,23.325552,4.317034,0.053657,10.04035,136,8,7,44,26,0,1,43,0,13.217484,0.037733,75.796669,120,-1410,1,506.748571,343.131429,149.857143,5.1651322,175.0606,4.322194886,75.35384,17.071551,1952.26694,0.030902,2.496494,9.296558,2.863331,-5.636011,0.555341,4109.760323,0.34728,0,0.167529922,0.421547278,0.228691652,0.049941,1.567358,80.41126,1,0.036881,0.279398,0,40
0.234210526,27.144783,-31.821823,2.606503736,13.551588,3.655146104,38.673171,2.963533,0.113862,2.853774,934,3,3,106,6,0,3,12,0,6.43539,0.038301,81.284748,129,-1425.241935,19.223026,479.883041,267.163743,252.824561,7.068304871,1174.156,4.46180096,86.64341,10.577265,1522.622086,0.017708,1.919662,13.922785,2.790506,-7.938885,0.804217,3198.141758,0.273202,0.001578584,0.160864778,0.074061489,0.035231305,0,0.05612,34.504274,3,0.180257,0.070844,0,0
0.466129,-64.733658,-30.770796,2.44052137,11.479024,3.719535761,41.245242,3.434128,0.084794,3.593097,530,1,6,48,15,0,6,64,1,4.61233,0.044587,99.244526,56,-1254.078347,7.896805,475.679181,332.976109,191.286689,7.445610295,1712.33,5.005089277,149.1704,7.19632,1796.054933,0.019509,3.689358,14.951205,3.142826,-7.145687,1.012044,3820.669819,0.341556,0.033010599,0.037138865,0.196377091,0.069896389,0,0.39971,30.727189,2,0.006081,0.069111,0,39
0.07583,114.154102,22.586218,1.369927654,3.935066,3.431339121,30.918018,4.396739,0.05173,7.857051,27,5,7,34,15,0,1,43,0,9.248149,0.099402,103.935065,77,-1271.27002,4.85996,487.564356,281.217822,231.188119,4.018800637,55.63434,2.648873281,14.1381,6.230802,9953.882513,0.029059,7.603427,21.849883,6.013638,-7.00941,1.480995,14675.2516,0.616,0,0.233803961,0.100257937,0.205452344,1.328571,54.614364,7620.399669,2,0.01568,4.158298,0,27
1.66,24.264803,44.950019,2.136072434,8.466121,3.850159517,47.00056,4.556757,0.04816,5.551605,189,3,15,8,10,0,2,22,0,3.87166,0.023096,92.171656,61,-1520,19,310.578313,302.060241,387.345382,7.199708965,1339.041,5.063636263,158.1646,12.604669,968.854383,0.028493,0.678888,8.594133,3.196572,-4.253633,0.363569,7694.491128,0.478316,0.001364184,0.262844765,0.142727273,0.43451514,0,3.080234,64.475006,4,0.006463,0.779451,34.357275,56
0.416071,77.14262,10.119848,0.783737603,2.189641,3.324778182,27.792833,5.298359,0.035622,12.692871,1594,8,1,3,2,0,1,45,0,14.424304,0.193436,87.20372,124,-1410,1,324.341772,338.742616,337.029536,4.16182469,64.18854,3.37808705,29.31464,22.704372,7281.804278,0.021635,0.153041,18.90419,7.234752,-14.193873,0.352473,14109.29194,0.636993,0,0.046193047,0.150583658,0.476248354,0.117225,1.638779,101.417756,1,0.040494,4.962999,0,27
0.28280885,-97.268812,31.33149,-2.280579013,0.102225,0.490220386,1.632676,1.440512,0.48191,15.971417,180,6,5,99,9,0,5,75,0,5.456404,0.02155,102.688525,29,-1492.606635,17.952607,173.521739,385.173913,441.304348,2.557383113,12.90201,4.837963033,126.212,2.67311,2795.870561,0.030078,7.950702,19.419596,2.999156,-7.321414,1.283983,4708.662308,0.359149,0,0.073024446,0.627142857,0,0,7.505286,44.968561,1,0.001909,0.325154,0,0
0.067567568,-4.653043,34.124541,4.001300608,54.669207,4.960119375,142.610819,5.440968,0.033779,2.608613,202,9,7,12,12,0,3,15,0,9.688317,0.04037,112.610956,121,-1455.433139,7.723512,269.744059,407.605119,322.749543,8.154960259,3480.601,4.153659621,63.66657,11.734792,610.974695,0.028844,11.904206,16.172841,1.957865,-10.681948,0.400627,2817.284221,0.210026,0.0535514,0.688345114,0.114589504,0.027370938,0,1.845764,131.152896,2,0.018847,0.326311,0,41
2.576923077,25.425674,45.092437,-0.022057488,0.978184,2.492585508,12.092501,3.449062,0.084062,12.362197,411,6,5,8,10,0,2,22,0,2.93872,0.016553,74.554681,44,-1520,19,319.559524,338.119048,342.654762,5.944643081,381.7031,5.966700688,390.2161,18.398974,944.110094,0.027659,0.246331,6.952707,3.235328,-7.096991,0.529654,8055.715505,0.523571,0.001706503,0.103013762,0.1626875,0.428090171,0.064976,3.066242,63.562555,1,0.028665,1.169625,0,47
2.094805,-95.899112,39.907458,-0.735088551,0.479463,1.723137243,5.602076,2.282268,0.191985,11.684071,370,1,5,43,9,0,5,74,0,5.101924,0.003315,104.254586,27,-1358.688666,10.573888,90.916667,524.616667,384.466667,2.414556608,11.18481,3.149645782,23.3278,1.707892,2602.058978,0.038807,18.754246,11.700732,3.119813,-6.586157,0.656669,6020.957597,0.307911,0,0.718421673,0.317323944,0.00254417,0,0.636339,3.033247,1,0.011227,0.386909,0,0
0.029776675,-80.067279,36.813381,2.361629549,10.608224,5.093022083,162.88136,14.107339,0.005025,15.354253,297,3,5,4,9,0,5,73,0,15.276467,0.22484,91.28908,137,-1480.405673,8.33103,383.303867,420.110497,196.673244,6.199352319,492.43,3.837723076,46.41966,8.979371,2109.571685,0.024612,0.176298,12.631737,3.915489,-21.39842,0.875207,9481.03467,0.562425,0,0.023394652,0.10026658,0.845970439,0,2.300527,11.754076,3,0.02512,1.344345,0,40
0.278431,-98.013186,47.155683,3.055459081,21.23093,4.69589001,109.496218,6.703625,0.022253,5.157392,383,1,5,17,19,1,5,71,0,6.929043,0.135489,99.575,37,-1270.303914,6.419939,408.452778,360.738889,230.744444,8.106843774,3317.092,5.051384966,156.2387,0.897548,751.363087,0.027676,1.566817,4.448821,2.06255,-4.594588,0.714919,4398.12243,0.307075,7.78E-05,0.717425012,0.082756145,0.008988062,0,0.513945,0.807812,4,0.008662,0.088957,0,29
